PROTEIN_NAME	LOCUS	GENE_CONTIG	PFAM_ACC	PFAM_NAME	PFAM_DESCRIPTION	PFAM_START	PFAM_STOP	LENGTH	PFAM_SCORE	PFAM_EXPECTED
competence damage-inducible protein A cinA	Rv1901	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.17	MoCF_biosynth	Probable molybdopterin binding domain	2147683	2148213	531	128.2	1.2E-37
competence damage-inducible protein A cinA	Rv1901	Mycobacterium tuberculosis H37Rv complete genome.	PF02464.9	CinA	Competence-damaged protein	2148469	2148930	462	314.3599853515625	0.0
competence damage-inducible protein A cinA	Rv1901	Mycobacterium tuberculosis H37Rv complete genome.	PF02464.9	CinA	Competence-damaged protein	2148469	2148930	462	314.3999938964844	0.0
competence damage-inducible protein A cinA	Rv1901	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	2147683	2148216	534	178.39999389648438	0.0
competence damage-inducible protein A cinA	Rv1901	Mycobacterium tuberculosis H37Rv complete genome.	PF00994.16	MoCF_biosynth	Probable molybdopterin binding domain	2147683	2148228	546	180.57000732421875	0.0
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.9	MFS_1	Major Facilitator Superfamily	2149033	2149602	570	124.7	2.7E-36
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF00083.17	Sugar_tr	Sugar (and other) transporter	2149609	2150241	633	137.1	5.0E-40
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00891	TIGR00891	2A0112: MFS transporter, sialate:H+ symporter (SHS) family	2149111	2150274	1164	597.0	0.0
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.9	MFS_1	Major Facilitator Superfamily	2149504	2150238	735	124.7	2.7E-36
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF00083.17	Sugar_tr	Sugar (and other) transporter	2149078	2149635	558	137.1	5.0E-40
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00891	2A0112: MFS transporter, sialate	H+ symporter (SHS) family	2149111	2150274	1164	909.469970703125	0.0
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF00083.16	Sugar_tr	Sugar (and other) transporter	2149069	2150241	1173	32.099998474121094	3.400000003761505E-10
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.8	MFS_1	Major Facilitator Superfamily	2149189	2150226	1038	130.10000610351562	7.100000228262891E-36
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF07690.8	MFS_1	Major Facilitator Superfamily	2149156	2150226	1071	129.5	9.100000120774947E-36
sialic acid-transport membrane protein nanT	Rv1902c	Mycobacterium tuberculosis H37Rv complete genome.	PF00083.16	Sugar_tr	Sugar (and other) transporter	2149069	2150241	1173	34.5	5.99999978589949E-8
conserved membrane protein	Rv1903	Mycobacterium tuberculosis H37Rv complete genome.	PF04020.5	DUF360	Membrane protein of unknown function	2150364	2150723	360	162.3699951171875	1.401298464324817E-45
conserved membrane protein	Rv1903	Mycobacterium tuberculosis H37Rv complete genome.	PF04020.6	DUF360	Membrane protein of unknown function	2150364	2150723	360	105.5	1.4E-30
conserved membrane protein	Rv1903	Mycobacterium tuberculosis H37Rv complete genome.	PF04020.5	DUF360	Membrane protein of unknown function	2150364	2150747	384	293.79998779296875	0.0
conserved hypothetical protein	Rv1904	Mycobacterium tuberculosis H37Rv complete genome.	PF01740.14	STAS	STAS domain	2151038	2151358	321	52.8	1.8E-14
conserved hypothetical protein	Rv1904	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00377	TIGR00377	ant_ant_sig: anti-anti-sigma factor	2151029	2151355	327	111.1	5.0E-33
conserved hypothetical protein	Rv1904	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00377	ant_ant_sig	anti-anti-sigma factor	2151029	2151355	327	120.62999725341797	1.7999999692676135E-33
conserved hypothetical protein	Rv1904	Mycobacterium tuberculosis H37Rv complete genome.	PF01740.13	STAS	STAS domain	2151038	2151358	321	93.43000030517578	7.699999805342761E-25
conserved hypothetical protein	Rv1904	Mycobacterium tuberculosis H37Rv complete genome.	PF01740.13	STAS	STAS domain	2151038	2151358	321	93.4000015258789	6.599999833150938E-25
D-amino acid oxidase aao	Rv1905c	Mycobacterium tuberculosis H37Rv complete genome.	PF00890.17	FAD_binding_2	FAD binding domain	2152147	2152377	231	25.2	5.3E-6
D-amino acid oxidase aao	Rv1905c	Mycobacterium tuberculosis H37Rv complete genome.	PF01266.17	DAO	FAD dependent oxidoreductase	2151448	2152377	930	99.6	1.3E-28
D-amino acid oxidase aao	Rv1905c	Mycobacterium tuberculosis H37Rv complete genome.	PF01266.16	DAO	FAD dependent oxidoreductase	2151448	2152377	930	164.5	0.0
D-amino acid oxidase aao	Rv1905c	Mycobacterium tuberculosis H37Rv complete genome.	PF01266.16	DAO	FAD dependent oxidoreductase	2151448	2152377	930	165.08999633789062	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.16	peroxidase	Peroxidase	2154912	2155883	972	287.7	4.4E-86
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00198	TIGR00198	cat_per_HPI: catalase/peroxidase HPI	2153892	2156051	2160	1085.3	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.15	peroxidase	Peroxidase	2154912	2155886	975	661.0399780273438	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.15	peroxidase	Peroxidase	2153892	2154899	1008	661.0399780273438	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00198	cat_per_HPI	catalase/peroxidase HPI	2153889	2156054	2166	1127.7099609375	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.16	peroxidase	Peroxidase	2153970	2154899	930	287.7	4.4E-86
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.15	peroxidase	Peroxidase	2154912	2155886	975	303.20001220703125	0.0
catalase-peroxidase-peroxynitritase T katG	Rv1908c	Mycobacterium tuberculosis H37Rv complete genome.	PF00141.15	peroxidase	Peroxidase	2153892	2154899	1008	357.3999938964844	0.0
ferric uptake regulation protein furA	Rv1909c	Mycobacterium tuberculosis H37Rv complete genome.	PF01475.12	FUR	Ferric uptake regulator family	2156203	2156556	354	66.2	1.9E-18
ferric uptake regulation protein furA	Rv1909c	Mycobacterium tuberculosis H37Rv complete genome.	PF01475.11	FUR	Ferric uptake regulator family	2156200	2156556	357	42.31999969482422	1.8999999351621E-9
ferric uptake regulation protein furA	Rv1909c	Mycobacterium tuberculosis H37Rv complete genome.	PF01475.11	FUR	Ferric uptake regulator family	2156200	2156556	357	42.29999923706055	1.6000000213622911E-9
hypothetical exported protein	Rv1910c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.12	PBP	Phosphatidylethanolamine-binding protein	2156706	2157119	414	47.5	4.500000025386974E-11
hypothetical exported protein	Rv1910c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00481	TIGR00481	conserved hypothetical protein TIGR00481	2156715	2157119	405	38.56999969482422	1.3999999770586413E-10
hypothetical exported protein	Rv1910c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.13	PBP	Phosphatidylethanolamine-binding protein	2156709	2157104	396	83.7	8.7E-24
hypothetical exported protein	Rv1910c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.12	PBP	Phosphatidylethanolamine-binding protein	2156706	2157119	414	60.540000915527344	6.19999995896299E-15
lipoprotein lppC	Rv1911c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.12	PBP	Phosphatidylethanolamine-binding protein	2157382	2157807	426	65.5999984741211	1.5999999740402544E-16
lipoprotein lppC	Rv1911c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.12	PBP	Phosphatidylethanolamine-binding protein	2157382	2157807	426	80.73999786376953	5.099999838154165E-21
lipoprotein lppC	Rv1911c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00481	TIGR00481	TIGR00481: Raf kinase inhibitor-like protein, YbhB/YbcL family	2157391	2157792	402	65.8	7.6E-19
lipoprotein lppC	Rv1911c	Mycobacterium tuberculosis H37Rv complete genome.	PF01161.13	PBP	Phosphatidylethanolamine-binding protein	2157385	2157792	408	106.1	1.1E-30
lipoprotein lppC	Rv1911c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR00481	TIGR00481	conserved hypothetical protein TIGR00481	2157391	2157807	417	53.209999084472656	3.500000040224799E-13
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.4	ADH_N	Alcohol dehydrogenase GroES-like domain	2158765	2159010	246	49.5	1.1000000389727038E-11
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.18	ADH_zinc_N	Zinc-binding dehydrogenase	2158210	2158674	465	103.4000015258789	6.899999841324498E-28
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.18	ADH_zinc_N	Zinc-binding dehydrogenase	2158210	2158674	465	88.37000274658203	2.600000031086329E-23
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.4	ADH_N	Alcohol dehydrogenase GroES-like domain	2158765	2159010	246	52.27000045776367	1.899999905671801E-12
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF00107.19	ADH_zinc_N	Zinc-binding dehydrogenase	2158210	2158638	429	58.7	3.2E-16
oxidoreductase fadB5	Rv1912c	Mycobacterium tuberculosis H37Rv complete genome.	PF08240.5	ADH_N	Alcohol dehydrogenase GroES-like domain	2158708	2159010	303	42.0	5.0E-11
conserved hypothetical protein	Rv1913	Mycobacterium tuberculosis H37Rv complete genome.	PF00753.20	Lactamase_B	Metallo-beta-lactamase superfamily	2159239	2159907	669	69.0	3.2E-19
conserved hypothetical protein	Rv1913	Mycobacterium tuberculosis H37Rv complete genome.	PF00753.19	Lactamase_B	Metallo-beta-lactamase superfamily	2159251	2159835	585	61.29999923706055	3.099999979481495E-15
conserved hypothetical protein	Rv1913	Mycobacterium tuberculosis H37Rv complete genome.	PF00753.19	Lactamase_B	Metallo-beta-lactamase superfamily	2159251	2159835	585	63.459999084472656	8.099999785860727E-16
isocitrate lyase aceAa	Rv1915	Mycobacterium tuberculosis H37Rv complete genome.	PF00463.14	ICL	Isocitrate lyase family	2160523	2161353	831	247.3	1.6E-73
isocitrate lyase aceAa	Rv1915	Mycobacterium tuberculosis H37Rv complete genome.	PF00463.13	ICL	Isocitrate lyase family	2160523	2161512	990	50.0	1.4999999523982838E-20
isocitrate lyase aceAa	Rv1915	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01346	isocit_lyase	isocitrate lyase	2160526	2161539	1014	72.76000213623047	4.5000000510653075E-19
isocitrate lyase aceAa	Rv1915	Mycobacterium tuberculosis H37Rv complete genome.	PF00463.13	ICL	Isocitrate lyase family	2160523	2161530	1008	44.380001068115234	2.5000000090687343E-16
isocitrate lyase aceAa	Rv1915	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01346	TIGR01346	isocit_lyase: isocitrate lyase	2160526	2161362	837	244.6	3.6E-73
isocitrate lyase aceAb	Rv1916	Mycobacterium tuberculosis H37Rv complete genome.	TIGR01346	TIGR01346	isocit_lyase: isocitrate lyase	2161617	2162261	645	168.9	3.1E-50
isocitrate lyase aceAb	Rv1916	Mycobacterium tuberculosis H37Rv complete genome.	PF00463.14	ICL	Isocitrate lyase family	2161569	2162261	693	161.8	1.3E-47
isocitrate lyase aceAb	Rv1916	Mycobacterium tuberculosis H37Rv complete genome.	PF00463.13	ICL	Isocitrate lyase family	2161581	2162261	681	-185.8000030517578	4.999999969612645E-9
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166094	2166213	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164801	2164911	111	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164684	2164812	129	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164558	2164677	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164432	2164551	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164312	2164431	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164192	2164311	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166124	2166243	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166184	2166303	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166244	2166366	123	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166367	2166486	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166493	2166612	120	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166583	2166711	129	270.9	1.2E-82
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	2166823	2167299	477	194.2899932861328	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164192	2164311	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164312	2164431	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164432	2164551	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164801	2164920	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166124	2166243	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166244	2166363	120	332.7099914550781	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2163022	2163141	120	2.4000000953674316	0.20000000298023224
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164192	2164311	120	35.5	1.8000000068241206E-7
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164312	2164431	120	36.79999923706055	7.39999990173601E-8
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164432	2164551	120	49.29999923706055	1.3000000381735433E-11
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164558	2164677	120	26.200000762939453	1.1999999696854502E-4
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164681	2164800	120	17.299999237060547	0.006000000052154064
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2164801	2164920	120	29.100000381469727	1.4999999621068127E-5
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166124	2166243	120	35.29999923706055	2.0999999605919584E-7
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166244	2166363	120	36.70000076293945	7.799999934832158E-8
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.12	PPE	PPE family	2166823	2167299	477	197.6	8.4E-59
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166493	2166612	120	27.600000381469727	4.400000034365803E-5
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166613	2166732	120	10.0	0.03400000184774399
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	2166823	2167299	477	194.3000030517578	0.0
PPE family protein	Rv1917c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2166367	2166486	120	26.5	9.7999996796716E-5
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169305	2169424	120	32.29999923706055	1.6999999843392288E-6
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2167709	2167828	120	2.700000047683716	0.1899999976158142
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	2170124	2170600	477	184.08999633789062	0.0
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169545	2169664	120	170.02999877929688	0.0
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169425	2169544	120	170.02999877929688	0.0
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169305	2169424	120	170.02999877929688	0.0
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.12	PPE	PPE family	2170124	2170600	477	196.3	2.1E-58
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169806	2169925	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169575	2169694	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169485	2169604	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169425	2169544	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169365	2169484	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169305	2169424	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.11	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169275	2169394	120	161.0	2.6E-48
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF00823.11	PPE	PPE family	2170124	2170600	477	184.10000610351562	0.0
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169866	2169985	120	25.700000762939453	1.5999999595806003E-4
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169716	2169835	120	24.799999237060547	3.000000142492354E-4
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169545	2169664	120	42.599998474121094	1.2999999965401798E-9
PPE family protein	Rv1918c	Mycobacterium tuberculosis H37Rv complete genome.	PF01469.10	Pentapeptide_2	Pentapeptide repeats (8 copies)	2169425	2169544	120	41.900001525878906	2.099999951710174E-9
conserved hypothetical protein	Rv1919c	Mycobacterium tuberculosis H37Rv complete genome.	PF10604.2	Polyketide_cyc2	Polyketide cyclase / dehydrase and lipid transport	2171082	2171513	432	71.6	5.5E-20
conserved hypothetical protein	Rv1919c	Mycobacterium tuberculosis H37Rv complete genome.	PF10604.1	Polyketide_cyc2	Polyketide cyclase / dehydrase and lipid transport	2171082	2171513	432	78.54000091552734	2.399999923837254E-20
membrane protein	Rv1920	Mycobacterium tuberculosis H37Rv complete genome.	PF01553.13	Acyltransferase	Acyltransferase	2171758	2172144	387	104.30000305175781	3.6000000114158767E-28
membrane protein	Rv1920	Mycobacterium tuberculosis H37Rv complete genome.	PF01553.14	Acyltransferase	Acyltransferase	2171758	2172144	387	51.6	4.9E-14
membrane protein	Rv1920	Mycobacterium tuberculosis H37Rv complete genome.	PF01553.13	Acyltransferase	Acyltransferase	2171758	2172144	387	105.69000244140625	1.600000005073723E-28
membrane protein	Rv1920	Mycobacterium tuberculosis H37Rv complete genome.	PF03982.6	DAGAT	Diacylglycerol acyltransferase	2171779	2172348	570	37.8	6.7E-10
conserved lipoprotein	Rv1922	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.17	Beta-lactamase	Beta-lactamase	2174193	2175173	981	226.9	2.6E-67
conserved lipoprotein	Rv1922	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.16	Beta-lactamase	Beta-lactamase	2174205	2175182	978	269.07000732421875	0.0
conserved lipoprotein	Rv1922	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.16	Beta-lactamase	Beta-lactamase	2174205	2175167	963	270.70001220703125	0.0
lipase lipD	Rv1923	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.16	Beta-lactamase	Beta-lactamase	2175317	2176408	1092	235.6999969482422	0.0
lipase lipD	Rv1923	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.16	Beta-lactamase	Beta-lactamase	2175317	2176408	1092	237.42999267578125	0.0
lipase lipD	Rv1923	Mycobacterium tuberculosis H37Rv complete genome.	PF00144.17	Beta-lactamase	Beta-lactamase	2175308	2176366	1059	212.2	7.6E-63
acyl-CoA ligase fadD31	Rv1925	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.21	AMP-binding	AMP-binding enzyme	2177294	2178685	1392	214.5	1.3E-63
acyl-CoA ligase fadD31	Rv1925	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	2177294	2178685	1392	181.19000244140625	0.0
acyl-CoA ligase fadD31	Rv1925	Mycobacterium tuberculosis H37Rv complete genome.	PF00501.20	AMP-binding	AMP-binding enzyme	2177294	2178685	1392	181.8000030517578	0.0
immunogenic protein mpt63	Rv1926c	Mycobacterium tuberculosis H37Rv complete genome.	PF09167.3	DUF1942	Domain of unknown function (DUF1942)	2178966	2179349	384	307.4200134277344	0.0
immunogenic protein mpt63	Rv1926c	Mycobacterium tuberculosis H37Rv complete genome.	PF09167.4	DUF1942	Domain of unknown function (DUF1942)	2178966	2179349	384	178.9	2.3E-53
immunogenic protein mpt63	Rv1926c	Mycobacterium tuberculosis H37Rv complete genome.	PF09167.3	DUF1942	Domain of unknown function (DUF1942)	2178966	2179349	384	295.29998779296875	0.0
conserved hypothetical protein	Rv1927	Mycobacterium tuberculosis H37Rv complete genome.	PF09844.1	DUF2071	Uncharacterized conserved protein (COG2071)	2179772	2180416	645	393.8399963378906	0.0
conserved hypothetical protein	Rv1927	Mycobacterium tuberculosis H37Rv complete genome.	PF09844.2	DUF2071	Uncharacterized conserved protein (COG2071)	2179772	2180416	645	253.1	1.3E-75
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.18	adh_short	short chain dehydrogenase	2180672	2181184	513	108.1	3.3E-31
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.3	KR	KR domain	2180645	2181181	537	45.6	4.5E-12
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	2180672	2181184	513	111.0	3.300000085696192E-30
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF00106.17	adh_short	short chain dehydrogenase	2180672	2181184	513	113.44999694824219	7.300000004340951E-31
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF08659.2	KR	KR domain	2180681	2181175	495	-53.400001525878906	2.899999963119626E-4
short-chain type dehydrogenase/reductase	Rv1928c	Mycobacterium tuberculosis H37Rv complete genome.	PF01073.11	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family	2180567	2181175	609	-135.8000030517578	0.005900000222027302
conserved hypothetical protein	Rv1929c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	TIGR03083: uncharacterized Actinobacterial protein TIGR03083	2181340	2181891	552	112.9	5.3E-33
conserved hypothetical protein	Rv1929c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03085	TIGR03085	TIGR03085: TIGR03085 family protein	2181283	2181888	606	243.7	2.6E-73
conserved hypothetical protein	Rv1929c	Mycobacterium tuberculosis H37Rv complete genome.	TIGR03083	TIGR03083	uncharacterized Actinobacterial protein TIGR03083	2181340	2181891	552	152.60000610351562	4.203895392974451E-43
