Label	ID	Track	Strand	Start	Stop	Length	DB XREF	Experiment	Function	Gene	Protein ID	EC_Number	Product	TransL_Table	Locus Tag
NC_000962.gbk: CDS	23362:59:00	NC_000962.gbk: CDS (640113442)	+	2193664	2194434	771	885622		UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM		NP_216457.1		short-chain type dehydrogenase/reductase	11	Rv1941
NC_000962.gbk: CDS	23363:00:00	NC_000962.gbk: CDS (640113442)	-	2194644	2194973	330	885606		UNKNOWN		NP_216458.1		hypothetical protein	11	Rv1942c
NC_000962.gbk: CDS	23363:01:00	NC_000962.gbk: CDS (640113442)	-	2194970	2195347	378	885605		UNKNOWN		NP_216459.1		hypothetical protein	11	Rv1943c
NC_000962.gbk: CDS	23363:02:00	NC_000962.gbk: CDS (640113442)	-	2195344	2195934	591	885884	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216460.1		hypothetical protein	11	Rv1944c
NC_000962.gbk: CDS	23363:03:00	NC_000962.gbk: CDS (640113442)	+	2195989	2197353	1365	885980		UNKNOWN		NP_216461.1		hypothetical protein	11	Rv1945
lppG	23363:04:00	NC_000962.gbk: CDS (640113442)	-	2197508	2197960	453	885979		UNKNOWN	lppG	NP_216462.1		lipoprotein	11	Rv1946c
NC_000962.gbk: CDS	23363:05:00	NC_000962.gbk: CDS (640113442)	+	2198024	2198425	402	885976		UNKNOWN		NP_216463.1		hypothetical protein	11	Rv1947
NC_000962.gbk: CDS	23363:06:00	NC_000962.gbk: CDS (640113442)	-	2198714	2199064	351	885975		UNKNOWN		NP_216464.1		hypothetical protein	11	Rv1948c
NC_000962.gbk: CDS	23363:07:00	NC_000962.gbk: CDS (640113442)	-	2199075	2200034	960	885974		UNKNOWN		NP_216465.1		hypothetical protein	11	Rv1949c
NC_000962.gbk: CDS	23363:08:00	NC_000962.gbk: CDS (640113442)	-	2199998	2200189	192	885973		UNKNOWN		NP_216466.1		hypothetical protein	11	Rv1950c
NC_000962.gbk: CDS	23363:09:00	NC_000962.gbk: CDS (640113442)	-	2200190	2200486	297	885972		UNKNOWN		NP_216467.1		hypothetical protein	11	Rv1951c
NC_000962.gbk: CDS	23363:10:00	NC_000962.gbk: CDS (640113442)	+	2200726	2200941	216	885971		UNKNOWN		NP_216468.1		hypothetical protein	11	Rv1952
NC_000962.gbk: CDS	23363:11:00	NC_000962.gbk: CDS (640113442)	+	2200938	2201249	312	885970		UNKNOWN		NP_216469.1		hypothetical protein	11	Rv1953
NC_000962.gbk: CDS	23363:12:00	NC_000962.gbk: CDS (640113442)	-	2201223	2201744	522	885967		UNKNOWN		NP_216470.1		hypothetical protein	11	Rv1954c
NC_000962.gbk: CDS	23363:13:00	NC_000962.gbk: CDS (640113442)	+	2201584	2202096	513	885966		UNKNOWN		NP_216471.1		hypothetical protein	11	Rv1955
NC_000962.gbk: CDS	23363:14:00	NC_000962.gbk: CDS (640113442)	+	2202138	2202587	450	885964	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216472.1		transcriptional regulatory protein	11	Rv1956
NC_000962.gbk: CDS	23363:15:00	NC_000962.gbk: CDS (640113442)	+	2202584	2203129	546	885961	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216473.1		hypothetical protein	11	Rv1957
NC_000962.gbk: CDS	23363:16:00	NC_000962.gbk: CDS (640113442)	-	2203018	2203632	615	885960		UNKNOWN		NP_216474.1		hypothetical protein	11	Rv1958c
NC_000962.gbk: CDS	23363:17:00	NC_000962.gbk: CDS (640113442)	-	2203681	2203977	297	885958		UNKNOWN		NP_216475.1		hypothetical protein	11	Rv1959c
NC_000962.gbk: CDS	23363:18:00	NC_000962.gbk: CDS (640113442)	-	2203974	2204225	252	885957		UNKNOWN		NP_216476.1		hypothetical protein	11	Rv1960c
NC_000962.gbk: CDS	23363:19:00	NC_000962.gbk: CDS (640113442)	+	2204212	2204706	495	885954		UNKNOWN		NP_216477.1		hypothetical protein	11	Rv1961
NC_000962.gbk: CDS	23363:20:00	NC_000962.gbk: CDS (640113442)	-	2204866	2205273	408	885952		UNKNOWN		NP_216478.1		hypothetical protein	11	Rv1962c
mce3R	23363:21:00	NC_000962.gbk: CDS (640113442)	-	2205582	2206802	1221	885950	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM; REPRESSION OF THE MCE3 OPERON. COULD ALSO HAVE A REGULATORY ACTION ON THE MCE2 OPERON.	mce3R	NP_216479.1		TetR family transcriptional regulator	11	Rv1963c
yrbE3A	23363:22:00	NC_000962.gbk: CDS (640113442)	+	2207700	2208497	798	885948		UNKNOWN	yrbE3A	NP_216480.1		hypothetical protein	11	Rv1964
yrbE3B	23363:23:00	NC_000962.gbk: CDS (640113442)	+	2208507	2209322	816	885947		UNKNOWN	yrbE3B	NP_216481.1		hypothetical protein	11	Rv1965
mce3A	23363:24:00	NC_000962.gbk: CDS (640113442)	+	2209327	2210604	1278	885944		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce3A	YP_177852.1		MCE-family protein MCE3A	11	Rv1966
mce3B	23363:25:00	NC_000962.gbk: CDS (640113442)	+	2210601	2211629	1029	885943		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce3B	NP_216483.1		MCE-family protein MCE3B	11	Rv1967
mce3C	23363:26:00	NC_000962.gbk: CDS (640113442)	+	2211626	2212858	1233	885942		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce3C	NP_216484.1		MCE-family protein MCE3C	11	Rv1968
mce3D	23363:27:00	NC_000962.gbk: CDS (640113442)	+	2212855	2214126	1272	885940		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	mce3D	NP_216485.1		MCE-family protein MCE3D	11	Rv1969
lprM	23363:28:00	NC_000962.gbk: CDS (640113442)	+	2214123	2215256	1134	885939		UNKNOWN, BUT THOUGHT TO BE INVOLVED IN HOST CELL INVASION.	lprM	NP_216486.1		MCE-family lipoprotein LprM	11	Rv1970
mce3F	23363:29:00	NC_000962.gbk: CDS (640113442)	+	2215257	2216570	1314	885938		UNKNOWN, BUT THOUGHT INVOLVED IN HOST CELL INVASION.	mce3F	NP_216487.1		MCE-family protein MCE3F	11	Rv1971
NC_000962.gbk: CDS	23363:30:00	NC_000962.gbk: CDS (640113442)	+	2216592	2217167	576	885937		UNKNOWN		NP_216488.1		mce associated membrane protein	11	Rv1972
NC_000962.gbk: CDS	23363:31:00	NC_000962.gbk: CDS (640113442)	+	2217164	2217646	483	885936		UNKNOWN		NP_216489.1		MCE associated membrane protein	11	Rv1973
NC_000962.gbk: CDS	23363:32:00	NC_000962.gbk: CDS (640113442)	+	2217659	2218036	378	885935		UNKNOWN		NP_216490.1		hypothetical protein	11	Rv1974
NC_000962.gbk: CDS	23363:33:00	NC_000962.gbk: CDS (640113442)	+	2218052	2218717	666	885934		UNKNOWN		NP_216491.1		hypothetical protein	11	Rv1975
NC_000962.gbk: CDS	23363:34:00	NC_000962.gbk: CDS (640113442)	-	2218844	2219251	408	885933	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216492.1		hypothetical protein	11	Rv1976c
NC_000962.gbk: CDS	23363:35:00	NC_000962.gbk: CDS (640113442)	+	2219754	2220800	1047	885931	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216493.1		hypothetical protein	11	Rv1977
NC_000962.gbk: CDS	23363:36:00	NC_000962.gbk: CDS (640113442)	+	2220908	2221756	849	885928	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216494.1		hypothetical protein	11	Rv1978
NC_000962.gbk: CDS	23363:37:00	NC_000962.gbk: CDS (640113442)	-	2221719	2223164	1446	885819		UNKNOWN; POSSIBLY INVOLVED IN TRANSPORT OF AMINO ACID ACROSS THE MEMBRANE.		NP_216495.1		permease	11	Rv1979c
mpt64	23363:38:00	NC_000962.gbk: CDS (640113442)	-	2223343	2224029	687	885925	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	mpt64	NP_216496.1		hypothetical protein	11	Rv1980c
nrdF1	23363:39:00	NC_000962.gbk: CDS (640113442)	-	2224220	2225188	969	885923	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN THE DNA REPLICATION PATHWAY. CATALYZES THE BIOSYNTHESIS OF DEOXYRIBONUCLEOTIDES FROM THE CORRESPONDING RIBONUCLEOTIDES, PRECURSORS THAT ARE NECESSARY FOR DNA SYNTHESIS [CATALYTIC ACTIVITY: 2'-DEOXYRIBONUCLEOSIDE DIPHOSPHATE + OXIDIZED THIOREDO	nrdF1	YP_177853.1	1.17.4.1	ribonucleotide-diphosphate reductase subunit beta	11	Rv1981c
NC_000962.gbk: CDS	23363:40:00	NC_000962.gbk: CDS (640113442)	-	2225413	2225832	420	885816		UNKNOWN		NP_216498.1		hypothetical protein	11	Rv1982c
PE_PGRS35	23363:42:00	NC_000962.gbk: CDS (640113442)	+	2226244	2227920	1677	885921		UNKNOWN	PE_PGRS35	YP_177854.1		PE-PGRS family protein	11	Rv1983
cfp21	23363:43:00	NC_000962.gbk: CDS (640113442)	-	2227908	2228561	654	885813	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	HYDROLYZES CUTIN.	cfp21	NP_216500.1	3.1.1.-	cutinase	11	Rv1984c
NC_000962.gbk: CDS	23363:44:00	NC_000962.gbk: CDS (640113442)	-	2228991	2229902	912	885818		INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216501.1		chromosome replication initiation inhibitor protein	11	Rv1985c
NC_000962.gbk: CDS	23363:45:00	NC_000962.gbk: CDS (640113442)	+	2230011	2230610	600	885635		UNKNOWN; POSSIBLY INVOLVED IN TRANSPORT OF LYSINE ACROSS THE MEMBRANE.		NP_216502.1		hypothetical protein	11	Rv1986
NC_000962.gbk: CDS	23363:46:00	NC_000962.gbk: CDS (640113442)	+	2231026	2231454	429	885815		HYDROLYSIS OF CHITIN		NP_216503.1	3.2.1.14	chitinase	11	Rv1987
NC_000962.gbk: CDS	23363:47:00	NC_000962.gbk: CDS (640113442)	+	2231680	2232219	540	885632		THOUGHT TO CAUSE METHYLATION		NP_216504.1	2.1.1.-	methyltransferase	11	Rv1988
NC_000962.gbk: CDS	23363:48:00	NC_000962.gbk: CDS (640113442)	-	2232739	2233299	561	885810		UNKNOWN		NP_216505.1		hypothetical protein	11	Rv1989c
NC_000962.gbk: CDS	23363:50:00	NC_000962.gbk: CDS (640113442)	-	2233881	2234216	336	3205104		UNKNOWN; PROBABLY INVOLVED IN CELLULAR METABOLISM.		YP_177656.1		dehydrogenase	11	Rv1990A
NC_000962.gbk: CDS	23363:49:00	NC_000962.gbk: CDS (640113442)	-	2233296	2233637	342	885422	COORDINATES: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216506.1		transcriptional regulatory protein	11	Rv1990c
NC_000962.gbk: CDS	23363:51:00	NC_000962.gbk: CDS (640113442)	-	2234305	2234649	345	885634		UNKNOWN		NP_216507.1		hypothetical protein	11	Rv1991c
ctpG	23363:52:00	NC_000962.gbk: CDS (640113442)	-	2234991	2237306	2316	888914	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	METAL CATION-TRANSPORTING ATPASE; POSSIBLY CATALYZES THE TRANSPORT OF A UNDETERMINATED METAL CATION WITH THE HYDROLYSE OF ATP [CATALYTIC ACTIVITY: ATP + H(2)O + UNDETERMINATED METAL CATION(IN) = ADP + PHOSPHATE + UNDETERMINATED METAL CATION(OUT)].	ctpG	NP_216508.1	3.6.3.-	metal cation transporter P-type ATPase G CtpG	11	Rv1992c
NC_000962.gbk: CDS	23363:53:00	NC_000962.gbk: CDS (640113442)	-	2237303	2237575	273	885631	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216509.1		hypothetical protein	11	Rv1993c
NC_000962.gbk: CDS	23363:54:00	NC_000962.gbk: CDS (640113442)	-	2237628	2237984	357	888889		INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216510.1		transcriptional regulatory protein	11	Rv1994c
NC_000962.gbk: CDS	23363:55:00	NC_000962.gbk: CDS (640113442)	+	2238141	2238908	768	888917		UNKNOWN		NP_216511.1		hypothetical protein	11	Rv1995
NC_000962.gbk: CDS	23363:56:00	NC_000962.gbk: CDS (640113442)	+	2239004	2239957	954	888863	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216512.1		hypothetical protein	11	Rv1996
ctpF	23363:57:00	NC_000962.gbk: CDS (640113442)	+	2240159	2242876	2718	888867	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	METAL CATION-TRANSPORTING ATPASE; POSSIBLY CATALYZES THE TRANSPORT OF A UNDETERMINATED METAL CATION WITH THE HYDROLYSE OF ATP [CATALYTIC ACTIVITY: ATP + H(2)O + UNDETERMINATED METAL CATION(IN) = ADP + PHOSPHATE + UNDETERMINATED METAL CATION(OUT)].	ctpF	NP_216513.1	3.6.3.-	ATPase P	11	Rv1997
NC_000962.gbk: CDS	23363:58:00	NC_000962.gbk: CDS (640113442)	-	2242945	2243721	777	888853	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216514.1		hypothetical protein	11	Rv1998c
NC_000962.gbk: CDS	23363:59:00	NC_000962.gbk: CDS (640113442)	-	2243816	2245138	1323	888881		UNKNOWN. POSSIBLY TRANSPORTER INVOLVED IN TRANSPORT OF UNDETERMINATED SUBSTRATE (POSSIBLY CATIONIC AMINO ACIDS) ACROSS THE MEMBRANE: SO RESPONSIBLE FOR THE TRANSLOCATION OF THE SUBSTRATE ACROSS THE MEMBRANE.		NP_216515.1		hypothetical protein	11	Rv1999c
NC_000962.gbk: CDS	23364:00:00	NC_000962.gbk: CDS (640113442)	+	2245209	2246822	1614	888864	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216516.1		hypothetical protein	11	Rv2000
NC_000962.gbk: CDS	23364:01:00	NC_000962.gbk: CDS (640113442)	+	2246832	2247584	753	888880	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216517.1		hypothetical protein	11	Rv2001
fabG3	23364:02:00	NC_000962.gbk: CDS (640113442)	+	2247660	2248442	783	888857	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	NOT REALLY KNOWN; THOUGHT TO BE INVOLVED IN LIPID BIOSYNTHESIS [CATALYTIC ACTIVITY: Androstan-3-alpha,17-beta-diol + NAD+ = 17-beta-hydroxyandrostan-3-one + NADH].	fabG3	NP_216518.1	1.1.1.53	20-beta-hydroxysteroid dehydrogenase	11	Rv2002
NC_000962.gbk: CDS	23364:03:00	NC_000962.gbk: CDS (640113442)	-	2248563	2249420	858	888818	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216519.1		hypothetical protein	11	Rv2003c
NC_000962.gbk: CDS	23364:04:00	NC_000962.gbk: CDS (640113442)	-	2249478	2250974	1497	888817	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216520.1		hypothetical protein	11	Rv2004c
NC_000962.gbk: CDS	23364:05:00	NC_000962.gbk: CDS (640113442)	-	2250996	2251883	888	888831	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216521.1		hypothetical protein	11	Rv2005c
otsB1	23364:06:00	NC_000962.gbk: CDS (640113442)	+	2252002	2255985	3984	888943	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN TREHALOSE BIOSYNTHESIS (PROTECTIVE EFFECT). Mycobacteria can produce trehalose from glucose 6-phosphate and UDP-glucose (the OtsA-OtsB pathway) from glycogen-like alpha(1-->4)-linked glucose polymers (the TreY-TreZ pathway) and from maltose (t	otsB1	YP_177855.1	3.1.3.12	trehalose-6-phosphate phosphatase OtsB1	11	Rv2006
fdxA	23364:07:00	NC_000962.gbk: CDS (640113442)	-	2256084	2256428	345	888887	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	INVOLVED IN ELECTRON TRANSFER.	fdxA	NP_216523.1		ferredoxin FDXA	11	Rv2007c
NC_000962.gbk: CDS	23364:08:00	NC_000962.gbk: CDS (640113442)	-	2256617	2257942	1326	888813	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216524.1		hypothetical protein	11	Rv2008c
NC_000962.gbk: CDS	23364:09:00	NC_000962.gbk: CDS (640113442)	+	2258030	2258272	243	888925		UNKNOWN		NP_216525.1		hypothetical protein	11	Rv2009
NC_000962.gbk: CDS	23364:10:00	NC_000962.gbk: CDS (640113442)	+	2258273	2258671	399	888933		UNKNOWN		NP_216526.1		hypothetical protein	11	Rv2010
NC_000962.gbk: CDS	23364:11:00	NC_000962.gbk: CDS (640113442)	-	2258854	2259285	432	888922		UNKNOWN		NP_216527.1		hypothetical protein	11	Rv2011c
NC_000962.gbk: CDS	23364:12:00	NC_000962.gbk: CDS (640113442)	+	2259326	2259820	495	888927		UNKNOWN		NP_216528.1		hypothetical protein	11	Rv2012
NC_000962.gbk: CDS	23364:13:00	NC_000962.gbk: CDS (640113442)	+	2260665	2261144	480	887546		REQUIRED FOR THE TRANSPOSITION OF AN INSERTION ELEMENT.		NP_216529.2		transposase	11	Rv2013
NC_000962.gbk: CDS	23364:14:00	NC_000962.gbk: CDS (640113442)	+	2261098	2261688	591	887547		REQUIRED FOR THE TRANSPOSITION OF AN INSERTION ELEMENT.		NP_216530.2		transposase	11	Rv2014
NC_000962.gbk: CDS	23364:15:00	NC_000962.gbk: CDS (640113442)	-	2261816	2263072	1257	888378		UNKNOWN		NP_216531.1		hypothetical protein	11	Rv2015c
NC_000962.gbk: CDS	23364:16:00	NC_000962.gbk: CDS (640113442)	+	2263426	2264001	576	888630	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216532.1		hypothetical protein	11	Rv2016
NC_000962.gbk: CDS	23364:17:00	NC_000962.gbk: CDS (640113442)	+	2263998	2265038	1041	888435	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	THOUGH TO BE INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216533.1		transcriptional regulatory protein	11	Rv2017
NC_000962.gbk: CDS	23364:18:00	NC_000962.gbk: CDS (640113442)	+	2265280	2265999	720	887560	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216534.1		hypothetical protein	11	Rv2018
NC_000962.gbk: CDS	23364:19:00	NC_000962.gbk: CDS (640113442)	+	2265989	2266405	417	887665	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216535.1		hypothetical protein	11	Rv2019
NC_000962.gbk: CDS	23364:20:00	NC_000962.gbk: CDS (640113442)	-	2266421	2266720	300	887656		UNKNOWN		NP_216536.1		hypothetical protein	11	Rv2020c
NC_000962.gbk: CDS	23364:21:00	NC_000962.gbk: CDS (640113442)	-	2266805	2267110	306	888092		THOUGH TO BE INVOLVED IN TRANSCRIPTIONAL MECHANISM.		NP_216537.1		transcriptional regulatory protein	11	Rv2021c
NC_000962.gbk: CDS	23364:22:00	NC_000962.gbk: CDS (640113442)	-	2267119	2267724	606	888129	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216538.1		hypothetical protein	11	Rv2022c
NC_000962.gbk: CDS	23364:23:00	NC_000962.gbk: CDS (640113442)	-	2267749	2268108	360	887444		UNKNOWN		NP_216539.1		hypothetical protein	11	Rv2023c
NC_000962.gbk: CDS	23364:24:00	NC_000962.gbk: CDS (640113442)	-	2268693	2270240	1548	888351		UNKNOWN		NP_216540.1		hypothetical protein	11	Rv2024c
NC_000962.gbk: CDS	23364:25:00	NC_000962.gbk: CDS (640113442)	-	2270750	2271748	999	888782		UNKNOWN; POSSIBLY INVOLVED IN TRANSPORT OF METAL IONS ACROSS THE MEMBRANE.		NP_216541.1		hypothetical protein	11	Rv2025c
NC_000962.gbk: CDS	23364:26:00	NC_000962.gbk: CDS (640113442)	-	2271863	2272747	885	887460		UNKNOWN		NP_216542.1		hypothetical protein	11	Rv2026c
NC_000962.gbk: CDS	23364:27:00	NC_000962.gbk: CDS (640113442)	-	2272787	2274508	1722	888471	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	signal transduction		NP_216543.1		histidine kinase response regulator	11	Rv2027c
NC_000962.gbk: CDS	23364:28:00	NC_000962.gbk: CDS (640113442)	-	2274569	2275408	840	888494	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216544.1		hypothetical protein	11	Rv2028c
pfkB	23364:29:00	NC_000962.gbk: CDS (640113442)	-	2275405	2276424	1020	887491	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Involved in glycolysis: converts sugar-1-P to sugar-1,6-P.	pfkB	NP_216545.1	2.7.1.-	phosphofructokinase	11	Rv2029c
NC_000962.gbk: CDS	23364:30:00	NC_000962.gbk: CDS (640113442)	-	2276441	2278486	2046	887536	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216546.1		hypothetical protein	11	Rv2030c
hspX	23364:31:00	NC_000962.gbk: CDS (640113442)	-	2278498	2278932	435	887579	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	STRESS PROTEIN INDUCED BY ANOXIA. HAS A PROPOSED ROLE IN MAINTENANCE OF LONG-TERM VIABILITY DURING LATENT, ASYMPTOMATIC INFECTIONS, AND A PROPOSED ROLE IN REPLICATION DURING INITIAL INFECTION. REGULATED BY THE TWO COMPONENT REGULATORY SYSTEM DEVR|Rv3133c/	hspX	NP_216547.1		heat shock protein hspX	11	Rv2031c
acg	23364:32:00	NC_000962.gbk: CDS (640113442)	+	2279129	2280124	996	887582	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Unknown. May have a role for bacteria within the host environment.	acg	NP_216548.1		hypothetical protein	11	Rv2032
NC_000962.gbk: CDS	23364:33:00	NC_000962.gbk: CDS (640113442)	-	2280240	2281082	843	887972	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216549.1		hypothetical protein	11	Rv2033c
NC_000962.gbk: CDS	23364:34:00	NC_000962.gbk: CDS (640113442)	+	2281294	2281617	324	887859		Involved in transcriptional regulation.		NP_216550.1		ArsR family transcriptional regulator	11	Rv2034
NC_000962.gbk: CDS	23364:35:00	NC_000962.gbk: CDS (640113442)	+	2281614	2282102	489	887445		UNKNOWN		NP_216551.1		hypothetical protein	11	Rv2035
NC_000962.gbk: CDS	23364:36:00	NC_000962.gbk: CDS (640113442)	+	2282099	2282740	642	887433		UNKNOWN		NP_216552.1		hypothetical protein	11	Rv2036
NC_000962.gbk: CDS	23364:37:00	NC_000962.gbk: CDS (640113442)	-	2282747	2283721	975	888021	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216553.1		transmembrane protein	11	Rv2037c
NC_000962.gbk: CDS	23364:38:00	NC_000962.gbk: CDS (640113442)	-	2283723	2284796	1074	887998		Thought to be involved in active transport of sugar across the membrane (import). Responsible for energy coupling to the transport system.		NP_216554.1		sugar-transport ATP-binding protein ABC transporter	11	Rv2038c
NC_000962.gbk: CDS	23364:39:00	NC_000962.gbk: CDS (640113442)	-	2284799	2285641	843	887729		Thought to be involved in active transport of sugar across the membrane (import). Responsible for the translocation of the substrate across the membrane.		NP_216555.1		sugar-transport integral membrane protein ABC transporter	11	Rv2039c
NC_000962.gbk: CDS	23364:40:00	NC_000962.gbk: CDS (640113442)	-	2285628	2286530	903	887893		Thought to be involved in active transport of sugar across the membrane (import). Responsible for the translocation of the substrate across the membrane.		NP_216556.1		sugar-transport integral membrane protein ABC transporter	11	Rv2040c
NC_000962.gbk: CDS	23364:41:00	NC_000962.gbk: CDS (640113442)	-	2286527	2287846	1320	887474		Thought to be involved in active transport of sugar across the membrane (import).		NP_216557.1		sugar-binding lipoprotein	11	Rv2041c
NC_000962.gbk: CDS	23364:42:00	NC_000962.gbk: CDS (640113442)	-	2287884	2288681	798	887497	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216558.1		hypothetical protein	11	Rv2042c
pncA	23364:43:00	NC_000962.gbk: CDS (640113442)	-	2288681	2289241	561	888260	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Converts amides such as nicotinamide to corresponding acid.	pncA	NP_216559.1	3.5.1.-	pyrazinamidase	11	Rv2043c
NC_000962.gbk: CDS	23364:44:00	NC_000962.gbk: CDS (640113442)	-	2289282	2289599	318	888243		UNKNOWN		NP_216560.1		hypothetical protein	11	Rv2044c
lipT	23364:45:00	NC_000962.gbk: CDS (640113442)	-	2289685	2291220	1536	888358	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Converts unknown esters to corresponding free acid and alcohol	lipT	NP_216561.1	3.1.1.-	carboxylesterase LipT	11	Rv2045c
lppI	23364:46:00	NC_000962.gbk: CDS (640113442)	+	2291269	2291925	657	888308	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN	lppI	NP_216562.1		lipoprotein lppI	11	Rv2046
NC_000962.gbk: CDS	23364:47:00	NC_000962.gbk: CDS (640113442)	-	2291962	2294526	2565	888529	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216563.1		hypothetical protein	11	Rv2047c
pks12	23364:48:00	NC_000962.gbk: CDS (640113442)	-	2294531	2306986	12456	888350	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Involved in polyketide synthesis (product unknown).	pks12	NP_216564.1		polyketide synthase	11	Rv2048c
NC_000962.gbk: CDS	23364:49:00	NC_000962.gbk: CDS (640113442)	-	2307293	2307517	225	888593		UNKNOWN		NP_216565.1		hypothetical protein	11	Rv2049c
NC_000962.gbk: CDS	23364:50:00	NC_000962.gbk: CDS (640113442)	+	2307821	2308156	336	888598	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216566.1		hypothetical protein	11	Rv2050
ppm1	23364:51:00	NC_000962.gbk: CDS (640113442)	-	2308131	2310755	2625	887402	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	Transfers mannose from GDP-Mannose to all endogenous polyprenol-phosphates.	ppm1	NP_216567.1		polyprenol-monophosphomannose synthase Ppm1	11	Rv2051c
NC_000962.gbk: CDS	23364:52:00	NC_000962.gbk: CDS (640113442)	-	2310913	2312517	1605	888608	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216568.1		hypothetical protein	11	Rv2052c
fxsA	23364:53:00	NC_000962.gbk: CDS (640113442)	-	2312522	2313049	528	888768		UNKNOWN	fxsA	NP_216569.1		FxsA protein	11	Rv2053c
NC_000962.gbk: CDS	23364:54:00	NC_000962.gbk: CDS (640113442)	+	2313125	2313838	714	888722	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	UNKNOWN		NP_216570.1		hypothetical protein	11	Rv2054
rpsR	23364:55:00	NC_000962.gbk: CDS (640113442)	-	2314087	2314353	267	887817	EXISTENCE: PNNL proteomics experiment - BioProject PRJNA66995	involved in translation, amino-acyl tRNA binding	rpsR	NP_216571.1		30S ribosomal protein S18	11	Rv2055c
