Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2319	Rv2077c	PATRIC	CDS	2333323	2334294	972	-		323		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2320	Rv2077A	PATRIC	CDS	2334295	2334594	300	-		99		FIG00823030: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2321		PATRIC	CDS	2334728	2334877	150	+		49		FIG00822665: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2322	Rv2078	PATRIC	CDS	2335059	2335373	315	+		104		FIG00822376: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2323	Rv2079	PATRIC	CDS	2335355	2337325	1971	+		656		FIG033455: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2324	Rv2080	PATRIC	CDS	2337306	2337869	564	+		187	lppJ	Lipoprotein LppJ				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2325		PATRIC	CDS	2337922	2338188	267	+		88		FIG031423: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2326		PATRIC	CDS	2338276	2338719	444	+		147		POSSIBLE MEMBRANE PROTEIN				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2327	Rv2082	PATRIC	CDS	2338709	2340874	2166	+		721		FIG031423: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2328	Rv2083	PATRIC	CDS	2340871	2341815	945	+		314		FIG036988: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2329	Rv2084	PATRIC	CDS	2341808	2342944	1137	+		378		FIG00821033: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2330	Rv2085	PATRIC	CDS	2343027	2343332	306	+		101		FIG00821326: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2331	Rv2086	PATRIC	CDS	2343311	2343916	606	+		201		putative transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2332	Rv2087	PATRIC	CDS	2343994	2344224	231	+		76		Transposase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2333	Rv2088	PATRIC	CDS	2344411	2346180	1770	+		589	pknJ	Serine/threonine protein kinase PknJ (EC 2.7.11.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2334	Rv2089c	PATRIC	CDS	2346197	2347411	1215	-		404	pepE	Probable dipeptidase PepE (EC 3.4.13.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2335		PATRIC	CDS	2347335	2347667	333	-		110		2-isopropylmalate synthase (EC 2.3.3.13)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2336	Rv2090	PATRIC	CDS	2347634	2348554	921	+		306		DNA polymerase I (EC 2.7.7.7)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2337	Rv2091c	PATRIC	CDS	2348558	2349292	735	-		244		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2338	Rv2092c	PATRIC	CDS	2349334	2352054	2721	-		906	helY	FIG005666: putative helicase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2339	Rv2093c	PATRIC	CDS	2352103	2353029	927	-		308	tatC	Twin-arginine translocation protein TatC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2340	Rv2094c	PATRIC	CDS	2353046	2353297	252	-		83	tatA	Twin-arginine translocation protein TatA				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2341	Rv2095c	PATRIC	CDS	2353365	2354315	951	-		316		FIG019733: possible DNA-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2342	Rv2096c	PATRIC	CDS	2354312	2355310	999	-		332		FIG005453: Putative DeoR-family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2343	Rv2097c	PATRIC	CDS	2355319	2356662	1344	-		447		Pup ligase PafA, possible component of postulated heterodimer PafA-PafA'				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2344		PATRIC	CDS	2356729	2357901	1173	-		390		FIG033545: PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2345		PATRIC	CDS	2357907	2358206	300	-		99		FIG033545: PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2346	Rv2100	PATRIC	CDS	2358386	2360041	1656	+		551		FIG034520: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2347	Rv2101	PATRIC	CDS	2360240	2363281	3042	+		1013	helZ	Helicase, SNF2/RAD54 family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2348	Rv2102	PATRIC	CDS	2363274	2364107	834	+		277		FIG006557: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2349	Rv2103c	PATRIC	CDS	2364086	2364520	435	-		144		FIG00822827: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2350	Rv2104c	PATRIC	CDS	2364527	2364763	237	-		78		FIG00820845: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2351		PATRIC	CDS	2364797	2365054	258	-		85		FIG00823214: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2352	Rv2105	PATRIC	CDS	2365465	2365791	327	+		108		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2353	Rv2106	PATRIC	CDS	2365842	2366726	885	+		294		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2354	Rv2107	PATRIC	CDS	2367389	2367655	267	+		88	PE22	PE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2355	Rv2108	PATRIC	CDS	2367711	2368442	732	+		243	PPE36	PPE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2356	Rv2109c	PATRIC	CDS	2368983	2369729	747	-		248	prcA	Proteasome subunit alpha (EC 3.4.25.1), bacterial				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2357	Rv2110c	PATRIC	CDS	2369726	2370601	876	-		291	prcB	Proteasome subunit beta (EC 3.4.25.1), bacterial				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2358	Rv2111c	PATRIC	CDS	2370598	2370792	195	-		64		Prokaryotic ubiquitin-like protein Pup				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2359	Rv2112c	PATRIC	CDS	2370905	2372569	1665	-		554		Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2360	Rv2113	PATRIC	CDS	2372678	2373823	1146	+		381		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2361	Rv2114	PATRIC	CDS	2373816	2374457	642	+		213		FIG00821521: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2362	Rv2115c	PATRIC	CDS	2374461	2376308	1848	-		615		Bacterial proteasome-activating AAA-ATPase (PAN)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2363	Rv2116	PATRIC	CDS	2376571	2377140	570	+		189	lppK	Probable conserved lipoprotein lppK				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2364	Rv2117	PATRIC	CDS	2377148	2377441	294	+		97		YlxP-like protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2365	Rv2118c	PATRIC	CDS	2377470	2378312	843	-		280		RNA methyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2366	Rv2119	PATRIC	CDS	2378386	2379222	837	+		278		RecB family exonuclease				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2367	Rv2120c	PATRIC	CDS	2379245	2379727	483	-		160		Hypothetical membrane protein Rv2120c				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2368	Rv2121c	PATRIC	CDS	2379806	2380660	855	-		284	hisG	ATP phosphoribosyltransferase (EC 2.4.2.17)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2369	Rv2122c	PATRIC	CDS	2380663	2380944	282	-		93	hisE	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2370	Rv2123	PATRIC	CDS	2381071	2382492	1422	+		473	PPE37	PPE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2371	Rv2124c	PATRIC	CDS	2382489	2386067	3579	-		1192	metH	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2372	Rv2125	PATRIC	CDS	2386293	2387171	879	+		292		FIG00823557: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2373	Rv2126c	PATRIC	CDS	2387202	2387972	771	-		256	PE_PGRS37	PE_PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2374		PATRIC	CDS	2387969	2388235	267	-		88		FIG113212: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2375	Rv2127	PATRIC	CDS	2388616	2390085	1470	+		489	ansP1	L-asparagine permease				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2376	Rv2128	PATRIC	CDS	2390085	2390288	204	+		67		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2377	Rv2129c	PATRIC	CDS	2390308	2391189	882	-		293		Oxidoreductase, short-chain dehydrogenase/reductase family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2378	Rv2130c	PATRIC	CDS	2391215	2392459	1245	-		414	cysS	L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2379	Rv2131c	PATRIC	CDS	2392517	2393320	804	-		267	cysQ	Protein cysQ homolog				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2380	Rv2132	PATRIC	CDS	2393411	2393641	231	+		76		DNA-binding protein, CopG family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2381	Rv2133c	PATRIC	CDS	2393851	2394687	837	-		278		Phosphatidylinositol 3-and 4-kinase family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2382	Rv2134c	PATRIC	CDS	2394650	2395237	588	-		195		FIG00820819: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2383	Rv2135c	PATRIC	CDS	2395301	2396011	711	-		236		Phosphoglycerate mutase family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2384	Rv2136c	PATRIC	CDS	2396008	2396856	849	-		282	uppP	Undecaprenyl-diphosphatase (EC 3.6.1.27)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2385	Rv2137c	PATRIC	CDS	2396902	2397210	309	-		102		FIG00821698: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2386	Rv2138	PATRIC	CDS	2397381	2398406	1026	+		341	lppL	Lipoprotein LppL				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2387		PATRIC	CDS	2398436	2398684	249	+		82		FIG00821060: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2388	Rv2139	PATRIC	CDS	2398720	2399793	1074	+		357	pyrD	Dihydroorotate dehydrogenase (EC 1.3.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2389	Rv2140c	PATRIC	CDS	2399798	2400328	531	-		176	TB18.6	Phospholipid-binding protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2390	Rv2141c	PATRIC	CDS	2400376	2401722	1347	-		448		FIG016551: Putative peptidase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2391	Rv2142c	PATRIC	CDS	2402193	2402510	318	-		105		FIG00823288: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2392		PATRIC	CDS	2402507	2402722	216	-		71		FIG00823257: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2393		PATRIC	CDS	2403046	2403294	249	-		82		FIG00822168: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2394	Rv2143	PATRIC	CDS	2403421	2404035	615	+		204		Phosphoribosyl transferase domain protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2395	Rv2144c	PATRIC	CDS	2404165	2404521	357	-		118		Probable transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2396	Rv2145c	PATRIC	CDS	2404616	2405368	753	-		250	wag31	FIG055075: Possibly a cell division protein, antigen 84 in Mycobacteria				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2397	Rv2146c	PATRIC	CDS	2405666	2405956	291	-		96		FIG021764: Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2398	Rv2147c	PATRIC	CDS	2406118	2406774	657	-		218		FIG021292: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2399	Rv2148c	PATRIC	CDS	2406840	2407616	777	-		258		Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2400	Rv2149c	PATRIC	CDS	2407622	2408329	708	-		235	yfiH	COG1496: Uncharacterized conserved protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2401	Rv2150c	PATRIC	CDS	2408385	2409524	1140	-		379	ftsZ	Cell division protein FtsZ (EC 3.4.24.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2402	Rv2151c	PATRIC	CDS	2409697	2410605	909	-		302	ftsQ	Cell division protein FtsQ homolog				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2403	Rv2152c	PATRIC	CDS	2410638	2412122	1485	-		494	murC	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2404	Rv2153c	PATRIC	CDS	2412119	2413351	1233	-		410	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2405	Rv2154c	PATRIC	CDS	2413348	2414922	1575	-		524	ftsW	Cell division protein FtsW				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2406	Rv2155c	PATRIC	CDS	2414934	2416364	1431	-		476	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2407	Rv2156c	PATRIC	CDS	2416396	2417475	1080	-		359	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2408	Rv2157c	PATRIC	CDS	2417472	2419004	1533	-		510	murF	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2409	Rv2158c	PATRIC	CDS	2419001	2420554	1554	-		517	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2410	Rv2159c	PATRIC	CDS	2420631	2421665	1035	-		344		FIG038012: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2411	Rv2160c	PATRIC	CDS	2421662	2422003	342	-		113		Transcriptional regulator, TetR family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2412	Rv2161c	PATRIC	CDS	2422271	2423137	867	-		288		Probable F420-dependent oxidoreductase family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2413	Rv2162c	PATRIC	CDS	2423240	2424838	1599	-		532	PE_PGRS38	PE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2414	Rv2163c	PATRIC	CDS	2425048	2426868	1821	-		606	pbpB	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2415	Rv2164c	PATRIC	CDS	2427084	2428076	993	-		330		FIG034299: proline rich membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2416	Rv2165c	PATRIC	CDS	2428235	2429269	1035	-		344	mraW	rRNA small subunit methyltransferase H				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2417	Rv2166c	PATRIC	CDS	2429427	2429858	432	-		143		Cell division protein MraZ				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2418	Rv2167c	PATRIC	CDS	2430159	2431043	885	-		294		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2419	Rv2168c	PATRIC	CDS	2431094	2431420	327	-		108		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2420	Rv2169c	PATRIC	CDS	2431565	2431969	405	-		134		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2421	Rv2170	PATRIC	CDS	2432235	2432855	621	+		206		Acetyltransferase (EC 2.3.1.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2422	Rv2171	PATRIC	CDS	2432951	2433634	684	+		227	lppM	Lipoprotein LppM				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2423	Rv2172c	PATRIC	CDS	2433631	2434536	906	-		301		FIG00821173: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2424	Rv2173	PATRIC	CDS	2434847	2435905	1059	+		352	idsA2	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2425	Rv2174	PATRIC	CDS	2435909	2437459	1551	+		516		Carotene biosynthesis associated membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2426	Rv2175c	PATRIC	CDS	2437446	2437850	405	-		134		Conserved hypothetical regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2427	Rv2176	PATRIC	CDS	2437941	2439140	1200	+		399	pknL	Probable serine/threonine-protein kinase pknL (EC 2.7.11.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2428	Rv2177c	PATRIC	CDS	2439282	2439947	666	-		221		Mobile element protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2429	Rv2178c	PATRIC	CDS	2440332	2441720	1389	-		462	aroG	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2430	Rv2179c	PATRIC	CDS	2441811	2442317	507	-		168		FIG00820624: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2431	Rv2180c	PATRIC	CDS	2442327	2443265	939	-		312		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2432	Rv2181	PATRIC	CDS	2443350	2444585	1236	+		411		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2433	Rv2182c	PATRIC	CDS	2444586	2445329	744	-		247		1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2434	Rv2183c	PATRIC	CDS	2445415	2445810	396	-		131		FIG00821592: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2435	Rv2184c	PATRIC	CDS	2445807	2446949	1143	-		380		Arsenical pump-driving ATPase (EC 3.6.3.16)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2436	Rv2185c	PATRIC	CDS	2447066	2447500	435	-		144	TB16.3	FIG00821549: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2437	Rv2186c	PATRIC	CDS	2447605	2447994	390	-		129		FIG00995034: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2438	Rv2187	PATRIC	CDS	2448151	2449962	1812	+		603	fadD15	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2439	Rv2188c	PATRIC	CDS	2449993	2451036	1044	-		347		Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2440	Rv2189c	PATRIC	CDS	2451247	2452080	834	-		277		FIG00821136: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2441	Rv2190c	PATRIC	CDS	2452115	2453233	1119	-		372		Probable endopeptidase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2442		PATRIC	CDS	2453458	2453598	141	-		46		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2443	Rv2191	PATRIC	CDS	2453843	2455756	1914	+		637		DNA polymerase III epsilon subunit (EC 2.7.7.7)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2444	Rv2192c	PATRIC	CDS	2455631	2456743	1113	-		370	trpD	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2445	Rv2193	PATRIC	CDS	2456970	2457512	543	+		180	ctaE	Cytochrome c oxidase polypeptide III (EC 1.9.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2446	Rv2194	PATRIC	CDS	2457625	2458395	771	+		256	qcrC	ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2447	Rv2195	PATRIC	CDS	2458470	2459681	1212	+		403	qcrA	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2448	Rv2196	PATRIC	CDS	2459678	2461327	1650	+		549	qcrB	Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2449	Rv2197c	PATRIC	CDS	2461504	2462148	645	-		214		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2450	Rv2198c	PATRIC	CDS	2462148	2463047	900	-		299	mmpS3	Putative membrane protein MmpS3				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2451	Rv2199c	PATRIC	CDS	2463233	2463652	420	-		139		Probable cytochrome c oxidase polypeptide 4 (EC 1.9.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2452	Rv2200c	PATRIC	CDS	2463660	2464646	987	-		328	ctaC	Cytochrome c oxidase polypeptide II (EC 1.9.3.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2453	Rv2201	PATRIC	CDS	2464997	2466955	1959	+		652	asnB	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2454	Rv2202c	PATRIC	CDS	2467053	2468027	975	-		324	cbhK	Adenosine kinase (EC 2.7.1.20)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2455	Rv2203	PATRIC	CDS	2468231	2468923	693	+		230		Possible membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2456	Rv2204c	PATRIC	CDS	2468931	2469287	357	-		118		probable iron binding protein from the HesB_IscA_SufA family				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2457	Rv2205c	PATRIC	CDS	2469387	2470463	1077	-		358		Glycerate kinase (EC 2.7.1.31)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2458	Rv2206	PATRIC	CDS	2470958	2471332	375	+		124		CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2459	Rv2207	PATRIC	CDS	2471411	2472496	1086	+		361	cobT	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2460	Rv2208	PATRIC	CDS	2472493	2473242	750	+		249	cobS	Cobalamin synthase				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2461		PATRIC	CDS	2473330	2474700	1371	+		456		FIG00821894: hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2462	Rv2210c	PATRIC	CDS	2474864	2475970	1107	-		368	ilvE	Branched-chain amino acid aminotransferase (EC 2.6.1.42)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2463	Rv2211c	PATRIC	CDS	2476042	2477145	1104	-		367	gcvT	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2464	Rv2212	PATRIC	CDS	2477190	2478326	1137	+		378		Adenylate cyclase (EC 4.6.1.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2465	Rv2213	PATRIC	CDS	2478338	2479885	1548	+		515	pepB	Cytosol aminopeptidase PepA (EC 3.4.11.1)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2466	Rv2214c	PATRIC	CDS	2479923	2481701	1779	-		592	ephD	Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2467	Rv2215	PATRIC	CDS	2482073	2483626	1554	+		517	dlaT	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2468	Rv2216	PATRIC	CDS	2483626	2484531	906	+		301		Cell division inhibitor				
Mycobacterium tuberculosis H37Rv	NC_000962	VBIMycTub87468_2469	Rv2217	PATRIC	CDS	2484584	2485276	693	+		230	lipB	Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase				
